X,Y,RETICLE_SHOT,COL|ROW
13.614,-35.185,S-2_-2,C6R5
33.046,-33.185,S-2_-2,C7R0
27.864,-33.185,S-2_-2,C7R1
22.682,-33.185,S-2_-2,C7R2
18.796,-33.185,S-2_-2,C7R3
16.205,-33.185,S-2_-2,C7R4
13.614,-33.185,S-2_-2,C7R5
33.046,-31.185,S-2_-2,C8R0
27.864,-31.185,S-2_-2,C8R1
22.682,-31.185,S-2_-2,C8R2
18.796,-31.185,S-2_-2,C8R3
16.205,-31.185,S-2_-2,C8R4
13.614,-31.185,S-2_-2,C8R5
9.288,-58.185,S-2_-1,C0R0
4.106,-58.185,S-2_-1,C0R1
-1.076,-58.185,S-2_-1,C0R2
-4.962,-58.185,S-2_-1,C0R3
-7.553,-58.185,S-2_-1,C0R4
-10.144,-58.185,S-2_-1,C0R5
9.288,-54.185,S-2_-1,C1R0
4.106,-54.185,S-2_-1,C1R1
-1.076,-54.185,S-2_-1,C1R2
-4.962,-54.185,S-2_-1,C1R3
-7.553,-54.185,S-2_-1,C1R4
-10.144,-54.185,S-2_-1,C1R5
9.288,-50.185,S-2_-1,C2R0
4.106,-50.185,S-2_-1,C2R1
-1.076,-50.185,S-2_-1,C2R2
-4.962,-50.185,S-2_-1,C2R3
-7.553,-50.185,S-2_-1,C2R4
-10.144,-50.185,S-2_-1,C2R5
9.288,-46.185,S-2_-1,C3R0
4.106,-46.185,S-2_-1,C3R1
-1.076,-46.185,S-2_-1,C3R2
-4.962,-46.185,S-2_-1,C3R3
-7.553,-46.185,S-2_-1,C3R4
-10.144,-46.185,S-2_-1,C3R5
9.288,-42.185,S-2_-1,C4R0
4.106,-42.185,S-2_-1,C4R1
-1.076,-42.185,S-2_-1,C4R2
-4.962,-42.185,S-2_-1,C4R3
-7.553,-42.185,S-2_-1,C4R4
-10.144,-42.185,S-2_-1,C4R5
9.288,-38.185,S-2_-1,C5R0
4.106,-38.185,S-2_-1,C5R1
-1.076,-38.185,S-2_-1,C5R2
-4.962,-38.185,S-2_-1,C5R3
-7.553,-38.185,S-2_-1,C5R4
-10.144,-38.185,S-2_-1,C5R5
9.288,-35.185,S-2_-1,C6R0
4.106,-35.185,S-2_-1,C6R1
-1.076,-35.185,S-2_-1,C6R2
-4.962,-35.185,S-2_-1,C6R3
-7.553,-35.185,S-2_-1,C6R4
-10.144,-35.185,S-2_-1,C6R5
9.288,-33.185,S-2_-1,C7R0
4.106,-33.185,S-2_-1,C7R1
-1.076,-33.185,S-2_-1,C7R2
-4.962,-33.185,S-2_-1,C7R3
-7.553,-33.185,S-2_-1,C7R4
-10.144,-33.185,S-2_-1,C7R5
9.288,-31.185,S-2_-1,C8R0
4.106,-31.185,S-2_-1,C8R1
-1.076,-31.185,S-2_-1,C8R2
-4.962,-31.185,S-2_-1,C8R3
-7.553,-31.185,S-2_-1,C8R4
-10.144,-31.185,S-2_-1,C8R5
-14.47,-58.185,S-2_0,C0R0
-19.652,-58.185,S-2_0,C0R1
-24.834,-58.185,S-2_0,C0R2
-28.721,-58.185,S-2_0,C0R3
-31.311,-58.185,S-2_0,C0R4
-33.902,-58.185,S-2_0,C0R5
-14.47,-54.185,S-2_0,C1R0
-19.652,-54.185,S-2_0,C1R1
-24.834,-54.185,S-2_0,C1R2
-28.721,-54.185,S-2_0,C1R3
-31.311,-54.185,S-2_0,C1R4
-33.902,-54.185,S-2_0,C1R5
-14.47,-50.185,S-2_0,C2R0
-19.652,-50.185,S-2_0,C2R1
-24.834,-50.185,S-2_0,C2R2
-28.721,-50.185,S-2_0,C2R3
-31.311,-50.185,S-2_0,C2R4
-33.902,-50.185,S-2_0,C2R5
-14.47,-46.185,S-2_0,C3R0
-19.652,-46.185,S-2_0,C3R1
-24.834,-46.185,S-2_0,C3R2
-28.721,-46.185,S-2_0,C3R3
-31.311,-46.185,S-2_0,C3R4
-33.902,-46.185,S-2_0,C3R5
-14.47,-42.185,S-2_0,C4R0
-19.652,-42.185,S-2_0,C4R1
-24.834,-42.185,S-2_0,C4R2
-28.721,-42.185,S-2_0,C4R3
-31.311,-42.185,S-2_0,C4R4
-33.902,-42.185,S-2_0,C4R5
-14.47,-38.185,S-2_0,C5R0
-19.652,-38.185,S-2_0,C5R1
-24.834,-38.185,S-2_0,C5R2
-28.721,-38.185,S-2_0,C5R3
-31.311,-38.185,S-2_0,C5R4
-33.902,-38.185,S-2_0,C5R5
-14.47,-35.185,S-2_0,C6R0
-19.652,-35.185,S-2_0,C6R1
-24.834,-35.185,S-2_0,C6R2
-28.721,-35.185,S-2_0,C6R3
-31.311,-35.185,S-2_0,C6R4
-33.902,-35.185,S-2_0,C6R5
-14.47,-33.185,S-2_0,C7R0
-19.652,-33.185,S-2_0,C7R1
-24.834,-33.185,S-2_0,C7R2
-28.721,-33.185,S-2_0,C7R3
-31.311,-33.185,S-2_0,C7R4
-33.902,-33.185,S-2_0,C7R5
-14.47,-31.185,S-2_0,C8R0
